"ImageName","Word","Category","WordBefore","WordAfter","WordPosition","WordLength","CharCount","NumCount","PunctCount","LineNumber","ContainsRealWord","IsInsuranceWord"
"unitedhealthcare-1.jpeg","i'---------------_----_----------------_----_---~\","none"," "," ","0","50","1","0","1","0","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","1","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","1","false","false"
"unitedhealthcare-1.jpeg","l","none"," ","i","0","1","1","0","1","2","false","false"
"unitedhealthcare-1.jpeg","i","none","l","|","1","1","1","0","1","2","false","false"
"unitedhealthcare-1.jpeg","|","none","i"," ","2","1","0","0","0","2","false","false"
"unitedhealthcare-1.jpeg","l","none"," ","l","0","1","1","0","1","3","false","false"
"unitedhealthcare-1.jpeg","l","none","l"," ","1","1","1","0","1","3","false","false"
"unitedhealthcare-1.jpeg",":","none"," ","i","0","1","0","0","0","4","false","false"
"unitedhealthcare-1.jpeg","i","none",":","i","1","1","1","0","1","4","false","false"
"unitedhealthcare-1.jpeg","i","none","i","911-87726-04","2","1","1","0","1","4","false","false"
"unitedhealthcare-1.jpeg","911-87726-04","none","i","l","3","12","0","10","10","4","false","false"
"unitedhealthcare-1.jpeg","l","none","911-87726-04"," ","4","1","1","0","1","4","false","false"
"unitedhealthcare-1.jpeg","i","none"," ","~","0","1","1","0","1","5","false","false"
"unitedhealthcare-1.jpeg","~","none","i","999999999","1","1","0","0","0","5","false","false"
"unitedhealthcare-1.jpeg","999999999","none","~","ohphcp","2","9","0","9","9","5","false","false"
"unitedhealthcare-1.jpeg","ohphcp","none","999999999","i","3","6","6","0","6","5","false","false"
"unitedhealthcare-1.jpeg","i","none","ohphcp"," ","4","1","1","0","1","5","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","6","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","6","false","false"
"unitedhealthcare-1.jpeg",":","none"," ","subscriber","0","1","0","0","0","7","false","false"
"unitedhealthcare-1.jpeg","subscriber","none",":","brown","1","10","10","0","10","7","true","false"
"unitedhealthcare-1.jpeg","brown","none","subscriber","87726","2","5","5","0","5","7","true","false"
"unitedhealthcare-1.jpeg","87726","none","brown",":","3","5","0","5","5","7","false","false"
"unitedhealthcare-1.jpeg",":","none","87726"," ","4","1","0","0","0","7","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","999999999999","0","1","0","0","0","8","false","false"
"unitedhealthcare-1.jpeg","999999999999","none","|","|","1","12","0","12","12","8","false","false"
"unitedhealthcare-1.jpeg","|","none","999999999999"," ","2","1","0","0","0","8","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","9","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","9","false","false"
"unitedhealthcare-1.jpeg","i","none"," ","dr.","0","1","1","0","1","10","false","false"
"unitedhealthcare-1.jpeg","dr.","none","i","provider","1","3","2","0","2","10","false","false"
"unitedhealthcare-1.jpeg","provider","none","dr.","brown","2","8","8","0","8","10","true","false"
"unitedhealthcare-1.jpeg","brown","none","provider","qrwkjme-‘ziss","3","5","5","0","5","10","true","false"
"unitedhealthcare-1.jpeg","qrwkjme-‘ziss","none","brown","i","4","13","11","0","11","10","false","false"
"unitedhealthcare-1.jpeg","i","none","qrwkjme-‘ziss"," ","5","1","1","0","1","10","false","false"
"unitedhealthcare-1.jpeg","g","none"," ","(999)999-9999","0","1","1","0","1","11","false","false"
"unitedhealthcare-1.jpeg","(999)999-9999","none","g","610494","1","13","0","10","10","11","false","false"
"unitedhealthcare-1.jpeg","610494","none","(999)999-9999",":","2","6","0","6","6","11","false","false"
"unitedhealthcare-1.jpeg",":","none","610494"," ","3","1","0","0","0","11","false","false"
"unitedhealthcare-1.jpeg","i","none"," ","acuoh","0","1","1","0","1","12","false","false"
"unitedhealthcare-1.jpeg","acuoh","none","i","i","1","5","5","0","5","12","false","false"
"unitedhealthcare-1.jpeg","i","none","acuoh"," ","2","1","1","0","1","12","false","false"
"unitedhealthcare-1.jpeg",":","none"," ","9999","0","1","0","0","0","13","false","false"
"unitedhealthcare-1.jpeg","9999","none",":","l","1","4","0","4","4","13","false","false"
"unitedhealthcare-1.jpeg","l","none","9999"," ","2","1","1","0","1","13","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","14","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","14","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","15","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","15","false","false"
"unitedhealthcare-1.jpeg","|","none"," ","|","0","1","0","0","0","16","false","false"
"unitedhealthcare-1.jpeg","|","none","|"," ","1","1","0","0","0","16","false","false"
"unitedhealthcare-1.jpeg","'","none"," ","oh","0","1","0","0","0","17","false","false"
"unitedhealthcare-1.jpeg","oh","none","'","-","1","2","2","0","2","17","true","false"
"unitedhealthcare-1.jpeg","-","none","oh","medicaid","2","1","0","0","0","17","false","false"
"unitedhealthcare-1.jpeg","medicaid","none","-","'","3","8","8","0","8","17","false","false"
"unitedhealthcare-1.jpeg","'","none","medicaid"," ","4","1","0","0","0","17","false","false"
"unitedhealthcare-1.jpeg","l‘~0501","none"," ","administered","0","7","1","4","5","18","false","false"
"unitedhealthcare-1.jpeg","administered","none","l‘~0501","by","1","12","12","0","12","18","true","false"
"unitedhealthcare-1.jpeg","by","none","administered","unitedhealthcare","2","2","2","0","2","18","true","false"
"unitedhealthcare-1.jpeg","unitedhealthcare","none","by","community","3","16","16","0","16","18","false","false"
"unitedhealthcare-1.jpeg","community","none","unitedhealthcare","plan","4","9","9","0","9","18","true","false"
"unitedhealthcare-1.jpeg","plan","none","community","of","5","4","4","0","4","18","true","true"
"unitedhealthcare-1.jpeg","of","none","plan","ohio","6","2","2","0","2","18","true","false"
"unitedhealthcare-1.jpeg","ohio","none","of","inc.","7","4","4","0","4","18","true","false"
"unitedhealthcare-1.jpeg","inc.","none","ohio","'il","8","4","3","0","3","18","false","false"
"unitedhealthcare-1.jpeg","'il","none","inc."," ","9","3","2","0","2","18","false","false"
